policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
5,7976,140,2143,5,2,JEPA s8h3 (ablation),task_20251127_070938_325_b393a327_a40b1f4e
11,28901,1050,4384,11,3,JEPA s8h3 (ablation),task_20251127_152838_396_99ba2325_8391501f
9,40014,1664,7808,9,2,JEPA s8h3 (ablation),task_20251127_173847_074_4d9df647_632c493d
10,33594,1113,5568,10,3,JEPA s8h3 (ablation),task_20251128_123025_545_13762b97_ad80b87c
3,2742,72,1120,3,1,JEPA s8h3 (ablation),task_20251128_154607_365_1628b966_a730b5cf
9,30678,957,6572,9,2,JEPA s8h3 (ablation),task_20251201_113908_295_e81f6083_e770442c
7,16145,922,3679,7,2,JEPA s8h3 (ablation),task_20251203_051113_560_99ba2325_1ff9b6e5
10,36583,1641,7832,10,3,JEPA s8h3 (ablation),task_20251203_091910_549_bca89e7d_de59e44a
12,20414,153,3044,12,3,JEPA s8h3 (ablation),task_20251203_104951_949_701c5774_5a606512
5,9884,323,3514,5,1,JEPA s8h3 (ablation),task_20251203_125054_648_be6c9105_0ec24467
12,30642,253,4868,12,4,JEPA s8h3 (ablation),task_20251203_184109_641_6f5b66fc_e62d330e
7,20678,976,5043,7,2,JEPA s8h3 (ablation),task_20251203_190727_704_e81f6083_f2fd8fe6
6,8997,327,2453,6,2,JEPA s8h3 (ablation),task_20251203_194320_796_df2c536d_c885488e
6,13223,345,3606,6,2,JEPA s8h3 (ablation),task_20251204_045548_265_4d9df647_18dae74a
24,204924,2376,14038,24,7,JEPA s8h3 (ablation),task_20251204_083406_171_e7cfb93b_89e0d558
9,25055,247,4837,9,3,JEPA s8h3 (ablation),task_20251204_092258_460_be6c9105_33990b9e
19,87256,1746,8701,19,6,JEPA s8h3 (ablation),task_20251204_115043_305_e81f6083_4acfd9ea
11,38855,925,6666,11,3,JEPA s8h3 (ablation),task_20251204_122816_238_13762b97_cd4a8a4f
