benchmark,world_model,harness,rollout_mode,runs,success_rate_pct,success_rate_stdev,mean_task_seconds,total_tasks,on_pareto_front,summary_files
WorkBench,Enterprise-JEPA,beam_interval,closed_loop,2,60.5,2.1213203435596424,32.643384999999995,100,False,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json;ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,LLM-WM (tool output),itp_i,closed_loop,1,57.99999999999999,0.0,25.41346,100,False,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
WorkBench,LLM-WM (state output),beam_critic,closed_loop,1,56.99999999999999,0.0,117.03802,100,False,ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
WorkBench,LLM-WM (state output),itp_i,closed_loop,2,34.0,48.08326112068523,8.451765,100,True,ejepa-wm-harnesses-workbench-llm-wm-20260909T223306Z.json;ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
WorkBench,LLM-WM (tool output),beam_critic,closed_loop,1,28.999999999999996,0.0,574.05702,100,False,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
Workspace-Bench,LLM-WM (state output),revision,closed_loop,1,50.0,0.0,44.22347640885972,100,True,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
Workspace-Bench,LLM-WM (tool output),revision,closed_loop,1,45.0,0.0,50.93032994850539,100,False,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T063334Z.json
Workspace-Bench,Enterprise-JEPA,revision,closed_loop,1,45.0,0.0,39.30816806372255,100,True,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,Enterprise-JEPA,beam_critic,open_loop,1,32.0,0.0,28.05622941195965,100,False,ejepa-wm-harnesses-Workspace-Bench-beam-critic-separate-20260914T005540Z.json
Workspace-Bench,LLM-WM (tool output),beam_interval,closed_loop,1,32.0,0.0,64.24280916766264,100,False,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T063334Z.json
Workspace-Bench,LLM-WM (tool output),beam_critic,closed_loop,1,32.0,0.0,64.55285052652471,100,False,ejepa-wm-harnesses-workspace-bench-agentworld-20260906T171353Z.json
Workspace-Bench,Enterprise-JEPA,beam_interval,closed_loop,1,32.0,0.0,48.82512439807877,100,False,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,Enterprise-JEPA,beam_critic,closed_loop,1,32.0,0.0,28.33448358462192,100,False,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,Enterprise-JEPA,reference,closed_loop,1,32.0,0.0,27.18074193001725,100,True,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
Workspace-Bench,LLM-WM (state output),beam_critic,closed_loop,1,32.0,0.0,35.127128181727606,100,False,ejepa-wm-harnesses-workspace-bench-llm-wm-20260909T173305Z.json
Workspace-Bench,Enterprise-JEPA,itp_i,closed_loop,1,28.000000000000004,0.0,17.683173539191486,100,True,ejepa-wm-harnesses-workspace-bench-jepa-20260909T073946Z.json
