benchmark,target,world_model,world_model_checkpoint,harness,rollout_mode,config_model_name,runs,tasks,expected_tasks_per_run,task_completeness,critic_fire_rate,avg_tool_calls,avg_failed_tool_calls,avg_unnecessary_tool_calls,avg_wm_steps,avg_wm_calls,avg_advice_injections,avg_terminal_advice_injections,avg_replans,avg_replans_with_plan,avg_beam_plan_steps,avg_imagined_plan_steps,avg_planning_llm_calls,avg_critic_checks,avg_critic_fires,avg_action_overrides,avg_refinement_rounds,avg_refinement_score_passes,avg_revisions,avg_reference_injections,avg_judge_calls,avg_wm_model_calls,source_files
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (tool output),world_model,beam_critic,open_loop,,4,320,80,1.0,0.5312,10.1719,0.7586,0.7586,9.05,8.0656,0.275,8.325,5.5344,3.075,9.05,4.1594,11.8406,8.0656,4.2844,0.0,,,,,,,ejepa-bench-repeat-enterpriseops-gym-trained-llm-qwen3.6-27b-20260901T180825Z.json;ejepa-bench-repeat-enterpriseops-gym-trained-llm-qwen3.6-27b-20260901T215819Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (tool output),world_model,beam_interval,closed_loop,,2,160,80,1.0,,10.6312,0.8688,0.8688,10.0312,0.0,1.675,0.0,8.3688,2.0875,10.0312,7.5938,7.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseops-agentworld-20260904T044057Z.json;ejepa-wm-harnesses-enterpriseops-agentworld-20260906T203733Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (tool output),world_model,itp_i,closed_loop,,3,240,80,1.0,,11.4875,2.2186,2.2186,11.9362,11.9362,0.0383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-enterpriseops-agentworld-20260904T044057Z.json;ejepa-wm-harnesses-enterpriseops-agentworld-20260906T171503Z.json;ejepa-wm-harnesses-enterpriseops-agentworld-20260906T203733Z.json
EnterpriseOps-Gym,opsgym_80_test,LLM-WM (tool output),world_model,revision,closed_loop,,1,80,80,1.0,,9.45,0.8625,0.8625,8.925,7.975,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0125,0.0,7.975,15.95,ejepa-wm-harnesses-enterpriseops-agentworld-20260906T203733Z.json
EnterpriseOps-Gym,opsgym_80_test,none / baseline,,baseline,closed_loop,,7,560,80,1.0,,8.3036,0.7286,0.7286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-bench-repeat-enterpriseops-baseline-20260830T073723Z.json;ejepa-bench-repeat-enterpriseops-gym-80-baseline-20260904T173131Z.json;ejepa-bench-repeat-enterpriseops-gym-80-baseline-20260904T173201Z.json;ejepa-bench-repeat-enterpriseops-gym-80-baseline-20260904T183949Z.json
Terminal-Bench-2.0,all,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,open_loop,wm_agent1,1,89,89,1.0,,20.7412,1.1765,1.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-Terminal-Bench-2.0-beam-critic-separate-20260913T174434Z.json
Terminal-Bench-2.0,all,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_critic,closed_loop,wm_agent1,1,89,89,1.0,,20.5882,1.2353,1.2353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,all,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,beam_interval,closed_loop,wm_agent1,1,89,89,1.0,,21.8588,1.4706,1.4706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,all,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,itp_i,closed_loop,wm_agent1,1,89,89,1.0,,19.6292,1.1461,1.1461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,all,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,closed_loop,wm_agent1,1,89,89,1.0,,19.8941,1.2235,1.2235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-jepa-20260910T184302Z.json
Terminal-Bench-2.0,all,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_critic,open_loop,,1,89,89,1.0,,18.8523,1.1364,1.1364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-llm-wm-20260914T032713Z.json
Terminal-Bench-2.0,all,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_interval,open_loop,,1,89,89,1.0,,20.5795,1.1705,1.1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-terminalbench-llm-wm-20260914T032850Z.json
